Kode	Tekst
DF95	Tics
DF950	Forbigående tic
DF951	Kroniske motoriske eller vokale tics
DF952	Kombinerede vokale og multiple motoriske tics
DF958	Anden tic-lidelse
DF959	Tics UNS
DF98	Andre adfærdsmæssige og emotionelle forstyrrelser opstået i barndom eller adolescens
DF980	Ikke-organisk enuresis
DF9800	Ikke-organisk enuresis alene om natten
DF9801	Ikke-organisk enuresis alene om dagen
DF9802	Ikke-organisk enuresis både nat og dag
DF981	Ikke-organisk encoprese
DF9810	Ikke-organisk encoprese med manglende sfinkterkontrol
DF9811	Ikke-organisk encoprese med normal sfinkterkontrol og fæces
DF9812	Ikke-organisk encoprese med flydende fæces
DF982	Spiseforstyrrelse i barndommen
DF983	Pica i barndommen
DF984	Bevægelsesstereotypier
DF9840	Ikke-selvskadende bevægelsesstereotypier
DF9841	Selvskadende bevægelsesstereotypier
DF9842	Blandede bevægelsesstereotypier
DF985	Stammen
DF986	Støden
DF988	Anden adfærdsmæssig og emotionel forstyrrelse opstået i barndom eller adolescens
DF988A	Onychophagia
DF988B	Onychotillomania
DF988C	Opmærksomhedsforstyrrelse uden hyperaktivitet
DF989	Adfærdsmæssig eller emotionel forstyrrelse i barndom eller adolescens UNS
	Ikke nærmere specificerede psykiske lidelser [DF99-DF99]
DF99	Psykiske lidelser eller forstyrrelser ikke nærmere specificeret
DF999	Psykisk lidelse eller forstyrrelse UNS
